PDF File,Status,ROI,Signature_box,Error Message
052536.pdf,Failed,"[339, 542, 0, 148]",,Signature not detected
072316.pdf,Failed,"[338, 541, 0, 145]",,Signature not detected
078532.pdf,Failed,"[433, 612, 0, 171]",,Signature not detected
085042.pdf,Failed,"[372, 546, 0, 168]",,Signature not detected
085254.pdf,Failed,"[337, 544, 0, 148]",,Signature not detected
089004.pdf,Failed,"[341, 545, 0, 150]",,Signature not detected
089193.pdf,Failed,"[362, 610, 0, 169]",,Signature not detected
091425.pdf,Failed,"[365, 543, 0, 165]",,Signature not detected
091726.pdf,Failed,"[339, 543, 0, 147]",,Signature not detected
092235.pdf,Failed,"[399, 610, 0, 186]",,Signature not detected
109359.pdf,Failed,"[372, 551, 0, 169]",,Signature not detected
109781.pdf,Failed,"[357, 541, 0, 162]",,Signature not detected
113968.pdf,Failed,"[411, 612, 0, 148]",,Signature not detected
115821.pdf,Failed,"[372, 545, 0, 167]",,Signature not detected
118162.pdf,Failed,"[406, 610, 0, 188]",,Signature not detected
122551.pdf,Failed,"[368, 543, 0, 167]",,Signature not detected
122616.pdf,Failed,"[444, 543, 0, 164]",,Signature not detected
139003.pdf,Failed,"[335, 538, 0, 149]",,Signature not detected
144367.pdf,Failed,"[336, 542, 0, 147]",,Signature not detected
145135.pdf,Failed,"[374, 542, 0, 164]",,Signature not detected
146254.pdf,Failed,"[438, 612, 0, 170]",,Signature not detected
148426.pdf,Failed,"[368, 543, 0, 168]",,Signature not detected
149723.pdf,Failed,"[346, 548, 0, 145]",,Signature not detected
149773.pdf,Failed,"[344, 542, 0, 147]",,Signature not detected
153798.pdf,Failed,"[378, 542, 0, 164]",,Signature not detected
159655.pdf,Failed,"[368, 544, 0, 167]",,Signature not detected
166018.pdf,Failed,"[335, 542, 0, 143]",,Signature not detected
167331.pdf,Failed,"[377, 610, 0, 167]",,Signature not detected
170148.pdf,Failed,"[337, 543, 0, 149]",,Signature not detected
179045.pdf,Failed,"[337, 543, 0, 147]",,Signature not detected
180119.pdf,Failed,"[374, 612, 0, 151]",,Signature not detected
186602.pdf,Failed,"[511, 547, 0, 170]",,Signature not detected
195017.pdf,Failed,"[334, 543, 0, 149]",,Signature not detected
195889.pdf,Failed,"[337, 543, 0, 149]",,Signature not detected
198065.pdf,Failed,"[368, 544, 0, 169]",,Signature not detected
199118.pdf,Failed,"[454, 612, 0, 171]",,Signature not detected
199948.pdf,Failed,"[368, 542, 0, 169]",,Signature not detected
205553.pdf,Failed,"[341, 543, 0, 147]",,Signature not detected
206761.pdf,Failed,"[340, 544, 0, 147]",,Signature not detected
206931.pdf,Failed,"[379, 543, 0, 168]",,Signature not detected
206999.pdf,Failed,"[372, 610, 0, 167]",,Signature not detected
207254.pdf,Failed,"[333, 540, 0, 149]",,Signature not detected
211376.pdf,Failed,"[385, 612, 0, 164]",,Signature not detected
214552.pdf,Failed,"[470, 612, 0, 173]",,Signature not detected
214837.pdf,Failed,"[370, 542, 0, 172]",,Signature not detected
220008.pdf,Failed,"[336, 543, 0, 144]",,Signature not detected
220977.pdf,Failed,"[364, 543, 0, 168]",,Signature not detected
248005.pdf,Failed,"[379, 610, 0, 168]",,Signature not detected
249536.pdf,Failed,"[372, 547, 0, 166]",,Signature not detected
250263.pdf,Failed,"[339, 550, 0, 146]",,Signature not detected
250350.pdf,Failed,"[369, 542, 0, 168]",,Signature not detected
250687.pdf,Failed,"[377, 543, 0, 169]",,Signature not detected
251118.pdf,Failed,"[368, 543, 0, 172]",,Signature not detected
251340.pdf,Failed,"[371, 545, 0, 167]",,Signature not detected
251529.pdf,Failed,"[366, 544, 0, 167]",,Signature not detected
252845.pdf,Failed,"[364, 547, 0, 167]",,Signature not detected
252856.pdf,Failed,"[373, 543, 0, 166]",,Signature not detected
252988.pdf,Failed,"[362, 543, 0, 166]",,Signature not detected
253079.pdf,Failed,"[332, 542, 0, 144]",,Signature not detected
253214.pdf,Failed,"[339, 542, 0, 147]",,Signature not detected
253633.pdf,Failed,"[423, 612, 0, 192]",,Signature not detected
253649.pdf,Failed,"[337, 543, 0, 144]",,Signature not detected
253771.pdf,Failed,"[367, 548, 0, 150]",,Signature not detected
254173.pdf,Failed,"[384, 544, 0, 167]",,Signature not detected
254288.pdf,Failed,"[365, 543, 0, 167]",,Signature not detected
254552.pdf,Failed,"[338, 542, 0, 147]",,Signature not detected
254698.pdf,Failed,"[339, 544, 0, 145]",,Signature not detected
254927.pdf,Failed,"[337, 542, 0, 144]",,Signature not detected
255261.pdf,Failed,"[365, 542, 0, 165]",,Signature not detected
255884.pdf,Failed,"[365, 543, 0, 163]",,Signature not detected
255905.pdf,Failed,"[333, 541, 0, 143]",,Signature not detected
256201.pdf,Failed,"[364, 543, 0, 164]",,Signature not detected
256721.pdf,Failed,"[379, 544, 0, 166]",,Signature not detected
256835.pdf,Failed,"[364, 542, 0, 166]",,Signature not detected
256865.pdf,Failed,"[337, 544, 0, 144]",,Signature not detected
256954.pdf,Failed,"[446, 543, 0, 164]",,Signature not detected
257703.pdf,Failed,"[361, 610, 0, 165]",,Signature not detected
258054.pdf,Failed,"[340, 545, 0, 145]",,Signature not detected
258212.pdf,Failed,"[338, 543, 0, 145]",,Signature not detected
258399.pdf,Failed,"[365, 542, 0, 167]",,Signature not detected
