PDF File,Status,ROI,Signature_box,Error Message
049541.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
049672.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
080490.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
086153.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
090047.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
091954.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
092293.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
092471.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
095110.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
095275.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
097730.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
097942.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
108028.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
110619.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
121937.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
124650.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
130936.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
131063.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
139003.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
142357.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
145915.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
147179.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
150821.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
151233.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
152792.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
156063.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
158934.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
159257.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
159809.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
160711.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
160915.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
161660.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
162365.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
162624.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
162640.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
166270.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
166717.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
170635.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
172792.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
176005.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
176102.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
176649.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
180143.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
181571.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
181644.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
182470.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
184341.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
189333.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
190504.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
191908.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
196063.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
197459.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
201478.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
204052.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
205537.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
207385.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
208763.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
209515.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
210906.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
211148.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
211805.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
222270.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
224400.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
