PDF File,Status,ROI,Signature_box,Error Message
021381.pdf,Failed,"[363, 540, 0, 165]",NA,Signature not detected
043236.pdf,Success,"[401, 612, 0, 171]","[[421.3627624511719, 112.55297088623047, 524.042724609375, 143.80154418945312]]",Processed successfully
049541.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
049672.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
050649.pdf,Success,"[372, 545, 0, 168]","[[365.504638671875, 100.4776840209961, 508.2630615234375, 138.25457763671875]]",Processed successfully
051069.pdf,Success,"[375, 544, 0, 165]","[[376.92022705078125, 108.044677734375, 488.5075378417969, 140.8545684814453]]",Processed successfully
052536.pdf,Success,"[339, 542, 0, 148]","[[360.1935119628906, 103.48712921142578, 521.8944702148438, 134.8707733154297]]",Processed successfully
056108.pdf,Success,"[369, 545, 0, 170]","[[365.7716979980469, 110.6865463256836, 509.5599365234375, 142.117431640625], [392.2611999511719, 5.948184967041016, 476.05706787109375, 21.70277214050293]]",Processed successfully
061218.pdf,Success,"[377, 543, 0, 167]","[[377.00439453125, 113.38411712646484, 503.6796875, 142.4599151611328], [378.70257568359375, 115.18858337402344, 442.6483154296875, 134.2681884765625]]",Processed successfully
068058.pdf,Failed,"[397, 612, 0, 211]",NA,Signature not detected
072316.pdf,Success,"[338, 541, 0, 145]","[[365.3627014160156, 4.160064220428467, 440.7981262207031, 17.361310958862305]]",Processed successfully
072617.pdf,Success,"[366, 542, 0, 168]","[[412.5976867675781, 95.3812484741211, 448.78472900390625, 135.9229278564453], [362.1221008300781, 94.58901977539062, 449.4884948730469, 133.76939392089844]]",Processed successfully
076213.pdf,Success,"[362, 540, 0, 167]","[[368.7373962402344, 118.4818115234375, 491.40325927734375, 147.73727416992188], [370.6378479003906, 154.84597778320312, 460.0231018066406, 167.73330688476562]]",Processed successfully
078532.pdf,Failed,"[433, 612, 0, 171]",NA,Signature not detected
079423.pdf,Success,"[366, 542, 0, 167]","[[366.4060363769531, 105.9727783203125, 509.533203125, 142.07913208007812], [363.3482360839844, 145.74526977539062, 460.3069152832031, 166.67881774902344]]",Processed successfully
080490.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
081886.pdf,Success,"[370, 548, 0, 167]","[[387.35595703125, 112.68077850341797, 508.77301025390625, 140.1186065673828]]",Processed successfully
084038.pdf,Failed,"[374, 542, 0, 168]",NA,Signature not detected
085042.pdf,Success,"[372, 546, 0, 168]","[[369.89837646484375, 108.79766845703125, 514.0274047851562, 133.83668518066406]]",Processed successfully
085254.pdf,Failed,"[337, 544, 0, 148]",NA,Signature not detected
086153.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
086551.pdf,Success,"[366, 542, 0, 164]","[[368.8865661621094, 99.30632019042969, 503.7915344238281, 135.66445922851562]]",Processed successfully
087947.pdf,Success,"[367, 543, 0, 166]","[[450.44512939453125, 35.77753448486328, 477.33880615234375, 57.13208770751953]]",Processed successfully
089004.pdf,Failed,"[341, 545, 0, 150]",NA,Signature not detected
