PDF File,Status,ROI,Signature_box,Error Message
049541.pdf,Failed,,,ROI not found or OCR error
049672.pdf,Failed,,,ROI not found or OCR error
080490.pdf,Failed,,,ROI not found or OCR error
086153.pdf,Failed,,,ROI not found or OCR error
090047.pdf,Failed,,,ROI not found or OCR error
091954.pdf,Failed,,,ROI not found or OCR error
092293.pdf,Failed,,,ROI not found or OCR error
092471.pdf,Failed,,,ROI not found or OCR error
095110.pdf,Failed,,,ROI not found or OCR error
095275.pdf,Failed,,,ROI not found or OCR error
097730.pdf,Failed,,,ROI not found or OCR error
097942.pdf,Failed,,,ROI not found or OCR error
108028.pdf,Failed,,,ROI not found or OCR error
110619.pdf,Failed,,,ROI not found or OCR error
121937.pdf,Failed,,,ROI not found or OCR error
124650.pdf,Failed,,,ROI not found or OCR error
130936.pdf,Failed,,,ROI not found or OCR error
142357.pdf,Failed,,,ROI not found or OCR error
145915.pdf,Failed,,,ROI not found or OCR error
147179.pdf,Failed,,,ROI not found or OCR error
150821.pdf,Failed,,,ROI not found or OCR error
151233.pdf,Failed,,,ROI not found or OCR error
152792.pdf,Failed,,,ROI not found or OCR error
156063.pdf,Failed,,,ROI not found or OCR error
158934.pdf,Failed,,,ROI not found or OCR error
159257.pdf,Failed,,,ROI not found or OCR error
159809.pdf,Failed,,,ROI not found or OCR error
160711.pdf,Failed,,,ROI not found or OCR error
160915.pdf,Failed,,,ROI not found or OCR error
161660.pdf,Failed,,,ROI not found or OCR error
162365.pdf,Failed,,,ROI not found or OCR error
162624.pdf,Failed,,,ROI not found or OCR error
162640.pdf,Failed,,,ROI not found or OCR error
166270.pdf,Failed,,,ROI not found or OCR error
166717.pdf,Failed,,,ROI not found or OCR error
170635.pdf,Failed,,,ROI not found or OCR error
172792.pdf,Failed,,,ROI not found or OCR error
176005.pdf,Failed,,,ROI not found or OCR error
176102.pdf,Failed,,,ROI not found or OCR error
176649.pdf,Failed,,,ROI not found or OCR error
180143.pdf,Failed,,,ROI not found or OCR error
181571.pdf,Failed,,,ROI not found or OCR error
181644.pdf,Failed,,,ROI not found or OCR error
182470.pdf,Failed,,,ROI not found or OCR error
184341.pdf,Failed,,,ROI not found or OCR error
189333.pdf,Failed,,,ROI not found or OCR error
190504.pdf,Failed,,,ROI not found or OCR error
191908.pdf,Failed,,,ROI not found or OCR error
196063.pdf,Failed,,,ROI not found or OCR error
197459.pdf,Failed,,,ROI not found or OCR error
201478.pdf,Failed,,,ROI not found or OCR error
204052.pdf,Failed,,,ROI not found or OCR error
205537.pdf,Failed,,,ROI not found or OCR error
207385.pdf,Failed,,,ROI not found or OCR error
208763.pdf,Failed,,,ROI not found or OCR error
209515.pdf,Failed,,,ROI not found or OCR error
210906.pdf,Failed,,,ROI not found or OCR error
211148.pdf,Failed,,,ROI not found or OCR error
211805.pdf,Failed,,,ROI not found or OCR error
222270.pdf,Failed,,,ROI not found or OCR error
224400.pdf,Failed,,,ROI not found or OCR error
224743.pdf,Failed,,,ROI not found or OCR error
235641.pdf,Failed,,,ROI not found or OCR error
249775.pdf,Failed,,,ROI not found or OCR error
250008.pdf,Failed,,,ROI not found or OCR error
250086.pdf,Failed,,,ROI not found or OCR error
250219.pdf,Failed,,,ROI not found or OCR error
250264.pdf,Failed,,,ROI not found or OCR error
250447.pdf,Failed,,,ROI not found or OCR error
250751.pdf,Failed,,,ROI not found or OCR error
250845.pdf,Failed,,,ROI not found or OCR error
250850.pdf,Failed,,,ROI not found or OCR error
251598.pdf,Failed,,,ROI not found or OCR error
251791.pdf,Failed,,,ROI not found or OCR error
251898.pdf,Failed,,,ROI not found or OCR error
251923.pdf,Failed,,,ROI not found or OCR error
252001.pdf,Failed,,,ROI not found or OCR error
252211.pdf,Failed,,,ROI not found or OCR error
252311.pdf,Failed,,,ROI not found or OCR error
