PDF File,Status,ROI,Error Message
021381.pdf,Success,"[363, 540, 0, 185]",Processed successfully
043236.pdf,Success,"[401, 612, 0, 191]",Processed successfully
049541.pdf,Failed,NA,ROI not found or OCR error
049672.pdf,Failed,NA,ROI not found or OCR error
050649.pdf,Success,"[372, 545, 0, 188]",Processed successfully
051069.pdf,Success,"[375, 544, 0, 185]",Processed successfully
052536.pdf,Failed,NA,ROI not found or OCR error
056108.pdf,Success,"[369, 545, 0, 190]",Processed successfully
061218.pdf,Success,"[377, 543, 0, 187]",Processed successfully
068058.pdf,Failed,NA,ROI not found or OCR error
072316.pdf,Failed,NA,ROI not found or OCR error
072617.pdf,Success,"[366, 542, 0, 188]",Processed successfully
076213.pdf,Success,"[362, 540, 0, 187]",Processed successfully
078532.pdf,Success,"[433, 612, 0, 191]",Processed successfully
079423.pdf,Success,"[366, 542, 0, 187]",Processed successfully
080490.pdf,Failed,NA,ROI not found or OCR error
081886.pdf,Success,"[370, 548, 0, 187]",Processed successfully
084038.pdf,Success,"[374, 542, 0, 188]",Processed successfully
085042.pdf,Success,"[372, 546, 0, 188]",Processed successfully
085254.pdf,Failed,NA,ROI not found or OCR error
086153.pdf,Failed,NA,ROI not found or OCR error
086551.pdf,Success,"[366, 542, 0, 184]",Processed successfully
087947.pdf,Success,"[367, 543, 0, 186]",Processed successfully
089004.pdf,Failed,NA,ROI not found or OCR error
089012.pdf,Success,"[376, 557, 0, 188]",Processed successfully
089185.pdf,Failed,NA,ROI not found or OCR error
089193.pdf,Success,"[362, 610, 0, 189]",Processed successfully
089575.pdf,Success,"[362, 537, 0, 186]",Processed successfully
089787.pdf,Success,"[381, 542, 0, 188]",Processed successfully
089826.pdf,Failed,NA,ROI not found or OCR error
090047.pdf,Failed,NA,ROI not found or OCR error
090398.pdf,Success,"[382, 543, 0, 190]",Processed successfully
090550.pdf,Success,"[382, 543, 0, 187]",Processed successfully
091158.pdf,Failed,NA,ROI not found or OCR error
091425.pdf,Success,"[365, 543, 0, 185]",Processed successfully
091726.pdf,Failed,NA,ROI not found or OCR error
091954.pdf,Failed,NA,ROI not found or OCR error
091962.pdf,Success,"[367, 545, 0, 187]",Processed successfully
092235.pdf,Success,"[399, 610, 0, 206]",Processed successfully
092293.pdf,Failed,NA,ROI not found or OCR error
092471.pdf,Failed,NA,ROI not found or OCR error
093451.pdf,Success,"[364, 542, 0, 189]",Processed successfully
095110.pdf,Failed,NA,ROI not found or OCR error
095275.pdf,Failed,NA,ROI not found or OCR error
097730.pdf,Failed,NA,ROI not found or OCR error
097942.pdf,Failed,NA,ROI not found or OCR error
097984.pdf,Success,"[381, 543, 0, 183]",Processed successfully
098304.pdf,Failed,NA,ROI not found or OCR error
106759.pdf,Success,"[365, 542, 0, 188]",Processed successfully
107763.pdf,Success,"[374, 543, 0, 187]",Processed successfully
108028.pdf,Failed,NA,ROI not found or OCR error
109359.pdf,Success,"[372, 551, 0, 189]",Processed successfully
109781.pdf,Success,"[357, 541, 0, 182]",Processed successfully
110473.pdf,Failed,NA,ROI not found or OCR error
110538.pdf,Success,"[367, 543, 0, 188]",Processed successfully
110619.pdf,Failed,NA,ROI not found or OCR error
112564.pdf,Success,"[377, 542, 0, 187]",Processed successfully
113845.pdf,Success,"[374, 550, 0, 188]",Processed successfully
113968.pdf,Failed,NA,ROI not found or OCR error
115821.pdf,Success,"[372, 545, 0, 187]",Processed successfully
118162.pdf,Success,"[406, 610, 0, 208]",Processed successfully
119011.pdf,Failed,NA,ROI not found or OCR error
119273.pdf,Failed,NA,ROI not found or OCR error
121937.pdf,Failed,NA,ROI not found or OCR error
122551.pdf,Success,"[368, 543, 0, 187]",Processed successfully
122616.pdf,Success,"[444, 543, 0, 184]",Processed successfully
124325.pdf,Success,"[445, 612, 0, 191]",Processed successfully
124650.pdf,Failed,NA,ROI not found or OCR error
125266.pdf,Failed,NA,ROI not found or OCR error
126343.pdf,Failed,NA,ROI not found or OCR error
127674.pdf,Success,"[372, 545, 0, 185]",Processed successfully
128248.pdf,Success,"[367, 544, 0, 186]",Processed successfully
130520.pdf,Success,"[432, 612, 0, 190]",Processed successfully
