PDF File,Status,ROI,Signature_box,Error Message
021381.pdf,Success,"[363, 540, 0, 165]","[[363.75714111328125, 35.58442687988281, 382.21136474609375, 87.2784194946289]]",Processed successfully
043236.pdf,Success,"[401, 612, 0, 171]","[[421.7803039550781, 112.36034393310547, 529.79248046875, 144.6742706298828]]",Processed successfully
050649.pdf,Success,"[372, 545, 0, 168]","[[370.9657287597656, 100.3704833984375, 509.38055419921875, 138.3314971923828]]",Processed successfully
051069.pdf,Success,"[375, 544, 0, 165]","[[383.2982177734375, 106.85049438476562, 485.3634033203125, 141.2132568359375]]",Processed successfully
056108.pdf,Success,"[369, 545, 0, 170]","[[391.27020263671875, 8.216399192810059, 473.9717712402344, 22.673364639282227], [370.2426452636719, 111.44974517822266, 411.1411437988281, 137.48428344726562], [372.0821228027344, 110.85851287841797, 509.2112121582031, 138.27816772460938]]",Processed successfully
061218.pdf,Success,"[377, 543, 0, 167]","[[379.21173095703125, 114.06913757324219, 502.8257751464844, 135.72215270996094], [378.3697204589844, 115.36056518554688, 450.05889892578125, 134.35641479492188]]",Processed successfully
068058.pdf,Success,"[397, 612, 0, 211]","[[421.99139404296875, 155.3886260986328, 540.2529907226562, 195.39564514160156]]",Processed successfully
072617.pdf,Success,"[366, 542, 0, 168]","[[367.9307556152344, 95.01634979248047, 450.2714538574219, 167.0568389892578], [409.3829650878906, 96.5751953125, 447.2910461425781, 158.54478454589844]]",Processed successfully
076213.pdf,Success,"[362, 540, 0, 167]","[[368.3494567871094, 118.57576751708984, 502.888671875, 149.5009002685547], [375.81439208984375, 154.47149658203125, 456.39483642578125, 167.20921325683594]]",Processed successfully
079423.pdf,Success,"[366, 542, 0, 167]","[[367.4429016113281, 104.67723846435547, 521.2243041992188, 140.08792114257812], [367.8800048828125, 145.8033905029297, 407.5672302246094, 166.31431579589844]]",Processed successfully
081886.pdf,Success,"[370, 548, 0, 167]","[[397.33648681640625, 112.69942474365234, 507.05206298828125, 138.4913330078125]]",Processed successfully
084038.pdf,Success,"[374, 542, 0, 168]","[[378.5494384765625, 108.66771697998047, 396.7723388671875, 133.91847229003906]]",Processed successfully
086551.pdf,Success,"[366, 542, 0, 164]","[[369.1114196777344, 90.46094512939453, 408.75628662109375, 132.70526123046875], [427.8085021972656, 105.42286682128906, 506.6149597167969, 136.96571350097656], [412.8589172363281, 109.00997924804688, 432.16107177734375, 133.2853240966797]]",Processed successfully
087947.pdf,Success,"[367, 543, 0, 166]","[[433.6355285644531, 113.87969207763672, 506.1268615722656, 135.2373809814453], [453.9914855957031, 37.48580551147461, 477.87689208984375, 57.90656280517578], [376.7779846191406, 116.93861389160156, 423.6926574707031, 133.01992797851562]]",Processed successfully
089012.pdf,Success,"[376, 557, 0, 168]","[[375.1164855957031, 104.19409942626953, 522.1978759765625, 164.708740234375], [375.3266906738281, 108.09583282470703, 418.33807373046875, 166.2122344970703], [423.4424743652344, 105.41912078857422, 526.2032470703125, 139.35769653320312]]",Processed successfully
089185.pdf,Success,"[360, 610, 0, 167]","[[408.1564025878906, 125.70601654052734, 488.14111328125, 154.7356719970703]]",Processed successfully
089575.pdf,Success,"[362, 537, 0, 166]","[[385.1519775390625, 108.23656463623047, 494.9399108886719, 133.79708862304688]]",Processed successfully
089787.pdf,Success,"[381, 542, 0, 168]","[[379.15985107421875, 104.06782531738281, 501.8168640136719, 148.8147430419922], [381.006103515625, 17.7487735748291, 482.8325500488281, 135.56008911132812], [382.357666015625, 104.9087142944336, 449.2306213378906, 137.14927673339844]]",Processed successfully
089826.pdf,Success,"[404, 612, 0, 171]","[[414.3214416503906, 118.78561401367188, 558.3675537109375, 167.6944580078125]]",Processed successfully
090398.pdf,Success,"[382, 543, 0, 170]","[[380.8210144042969, 117.78621673583984, 442.28094482421875, 135.94607543945312], [453.8338317871094, 23.44510269165039, 480.6305236816406, 52.22201919555664], [454.10675048828125, 109.36473846435547, 492.6843566894531, 136.6584930419922], [379.3035888671875, 116.49060821533203, 521.0960693359375, 168.28204345703125]]",Processed successfully
090550.pdf,Success,"[382, 543, 0, 167]","[[381.87957763671875, 109.92022705078125, 532.2847900390625, 138.55645751953125], [385.1910095214844, 137.0635223388672, 490.7231750488281, 166.2913055419922], [381.83795166015625, 115.30693817138672, 520.3484497070312, 162.8700408935547]]",Processed successfully
091158.pdf,Success,"[340, 542, 0, 150]","[[428.9978942871094, 116.22150421142578, 494.10894775390625, 138.08062744140625]]",Processed successfully
091962.pdf,Success,"[367, 545, 0, 167]","[[388.37615966796875, 111.28997802734375, 520.8244018554688, 135.59925842285156]]",Processed successfully
